Species name,Seed plant/Spore plant,Woody/Herbaceous,Broadleaved tree/Coniferous tree,Evergreen tree/Deciduous tree,Legume/Non-legume,Annual herb/Perennial herb,Grass/Forb/Shrub/Tree,C3/C4,Tissue types,mean_control,mean_treatment,SD_control,SD_treatment,N_control,N_treatment,units,Reference,N amount (g m-2yr-1),MAT,MAP(mm),Latitude,Other resources
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,233,792.2,57.1,361.5,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,P
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,116.5,473.8,95.1,209.3,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,Control
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,155.3,901,57.1,247.3,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,Control
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,240.8,885.5,171.2,400,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,Control
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,53.2,73,19.9,23.4,6,6,g m-2,Tilman GD 1984,13.6,6.7,765,45,Control
Amomyrtus luma,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.8,2,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Amomyrtus luma,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.8,6,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Amomyrtus meli,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.7,5.4,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Amomyrtus meli,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.7,2,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Amorpha canescens,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,aboveground,59,26,42,42,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Amorpha canescens,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,belowground,208,124,118,118,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Andromeda polifolia,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,aboveground,2.2,0.6,2.2,0.8,4,4,g m-2,Hobbie SE et al. 2005,10,*,330,68.4,P
Andromeda polifolia,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,aboveground,1.2,1.7,2.4,2,4,4,g m-2,Hobbie SE et al. 2005,10,*,330,68.4,P
Andromeda polifolia,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,wholeplant,11.4,3,11.6,3.6,4,4,g m-2,Hobbie SE et al. 2005,10,*,330,68.4,P
Andromeda polifolia,Seedplant,Woody,*,*,Non-legume,*,Shrub,*,wholeplant,11.4,10.1,22.8,11.6,4,4,g m-2,Hobbie SE et al. 2005,10,*,330,68.4,P
Andropogon gerardii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C4,shoot,2.8,1.9,0.5,1,6,6,g,Johnson NC et al..2003,4,*,330,35.2,CO2
